Origin,Destination,USD,Alternate origin name,kayak.com 20190929 for 20191010-20191026 Round trip,,,
New York,Tokyo,1333,,"JAL, nonstop",,,
Chicago,Tokyo,1093,,"ANA, nonstop",,,
Detroit,Tokyo,2076,,Delta nonstop,,,
Seattle,Tokyo,1364,Richland,JAL nonstop,,,
Pittsburgh,Tokyo,724,PITTSBURGH (PENNSYLVA),Delta one stop,,,
Memphis,Tokyo,1770,Mississippi,Delta one stop,,,
Washington,Tokyo,1614,,"ANA, nonstop",,,
Cincinnati,Tokyo,1591,,Delta one stop,,,
Frankfurt,Tokyo,1791,,"Lufthansa, nonstop",,,
Hamburg,Tokyo,1051,,"KLM, one stop",,,
Munich,Tokyo,1400,Muenchen,"Lufthansa, nonstop",,,
Milan,Tokyo,1600,,"Alitalia, nonstop",,,
Rome,Tokyo,1655,Roma,"Alitalia, nonstop",,,
Naples,Tokyo,1559,Napoli,"Alitalia, one stop",,,
Geneva,Tokyo,1538,,"KLM, one stop",,,
Moscow,Tokyo,787,,"S7 Airlines, nonstop",,,
Paris,Tokyo,1325,Orsay,"ANA, nonstop",,,
Marseille,Tokyo,1514,,"AF, one stop",,,
Vienna,Tokyo,1286,,"Austrian, nonstop",,,
Beijing,Tokyo,547,,JAL nonstop,,,
Shanghai,Tokyo,246,Fudan,HKG nonstop,,,
Adelaide,Tokyo,837,,Cathay one stop,,,
Ankara,Tokyo,1087,,Qatar one stop,,,
Chennai,Tokyo,636,Madras,Cathay one stop,,,
Seoul,Tokyo,196,,Korean nonstop,,,
Hanoi,Tokyo,441,,JAL nonstop,,,
Honolulu,Tokyo,1151,,Korean nonstop,,,
Hyderabad,Tokyo,615,,Cathay one stop,,,
Jaipur,Tokyo,1080,,"Air India, one stop",,,
Krakow,Tokyo,1172,,"KLM, one stop",,,
Kuala Lumpur,Tokyo,489,,Air Asia X nonstop,,,
Kyiv,Tokyo,785,Kiev,Qatar one stop,,,
Ljubljana,Tokyo,1410,Ljubliana,"Lufthansa, one stop",,,
Melbourne,Tokyo,784,,Quantas nonstop,,,
Sydney,Tokyo,698,,JAL nonstop,,,
Mexico City,Tokyo,1533,,"ANA, one stop",,,
Taipei,Tokyo,278,,Jetstar nonstop,,,
Montreal,Tokyo,1033,,Air Canada nonstop,,,
Mumbai,Tokyo,1285,Bombay,"ANA, nonstop",,,
Tel Aviv,Tokyo,1255,Tel-Aviv,"LOT, one stop",,,
Torino,Tokyo,1197,Turin,"KLM, one stop",,,
Vancouver,Tokyo,1115,,Air Canada nonstop,,,
Yerevan,Tokyo,1017,,"S7 Airlines, one stop",,,
Novosibirsk,Tokyo,407,,"S7 Airlines, one stop",,20191110-20191126,
Prague,Tokyo,554,Praha,"Lufthansa, one stop",,20191110-20191126,
Charlotte,Tokyo,1007,,Delta one stop,,20191110-20191126,
Madrid,Tokyo,726,,JAL onestop,,20191110-20191126,
Jinan,Tokyo,614,Shandong,China Eastern onestop,,20191110-20191126,
Punjab,Tokyo,882,Adampur,Thai Airways onestop (BKK),,20191110-20191126,
Jacksonville,Tokyo,1306,,ANA onestop (ORD),,20191110-20191126,
Louisville,Tokyo,1267,,ANA onestop (ORD),,20191110-20191126,
Bangkok,Tokyo,319,,Scoot nonstop,,20191110-20191126,
Hefei,Tokyo,524,,Air China onestop (PEK),,20191110-20191126,
Guwahati,Tokyo,1361,Assam,Multiple airlines one stop (DEL),,20191110-20191126,
Liaoning ,Tokyo,341,Shenyang,Korean air onestop (ICN),,,SHE-ICN-NRT
Chandigarh,Tokyo,1315,,Multiple airlines onestop (DEL),,,IXC-DEL-NRT
Quebec,Tokyo,1156,,Air Canada onestop (YQB),,,YYZ-YQB-HND
Bloomington,Tokyo,1489,Indianapolis,ANA onestop (ORD),,,IND-ORD-HND
Columbia,Tokyo,1456,,JAL onestop (DFW),,,CAE-DFW-NRT
Kennesaw,Tokyo,1676,Atlanta,Delta nonstop,,,
Mobile,Tokyo,1541,,United onestop (IAH),,,MOB-IAH-NRT
Tabuk,Tokyo,1821,,Multiple airlines onestop (DXB),,,TUU-DXB-HND
