 5744 15 	     9E-5 % 5 	  5E-6 3 
  5764 8 	     9.2E-4 % 20 	  5.3E-5 12 
  5900 15 	     1.00E-4 % 10 	  5.9E-6 6 
  5944 6 	     0.0020 % 3 	  1.19E-4 18 
  5958 15 	     3.2E-4 % 11 	  1.9E-5 7 
  6000 6 	     0.0031 % 5 	  1.9E-4 3 
  6100 8 	     0.00120 % 20 	  7.3E-5 12 
  6124 8 	     6.3E-4 % 13 	  3.9E-5 8 
  6158 4 	     0.0180 % 20 	  0.00111 12 
  6223 6 	     0.0043 % 11 	  2.7E-4 7 
  6311 3 	     0.051 % 4 	  0.0032 3 
  6425.0 10 	     7.5 % 6 	  0.48 4 
  6530 2 	     0.110 % 10 	  0.0072 7 
  6552.6 10 	    12.9 % 6 	  0.85 4 
  6819.1 3 	    79.4 % 10 	  5.41 7 
