 5014.4	     4.4E-4 % 4 	  2.2E-5 3 
 5025.5	     6.3E-4 % 6 	  3.2E-5 4 
 5036.0	     4.0E-4 % 4 	  2.0E-5 3 
 5056.0	     2.00E-4 % 20 	  1.01E-5 14 
 5086.2	     3.0E-4 % 3 	  1.53E-5 22 
 5112.4	     6.0E-4 % 6 	  3.1E-5 4 
 5134.8	     0.00170 % 17 	  8.7E-5 12 
  5151.8	     0.021 %	  0.00108
  5172.8	     0.026 %	  0.00134
  5211.6	     0.0053 %	  2.762E-4
  5236.3	     0.041 %	  0.00215
  5258.8	     0.042 %	  0.00221
  5282.8	     0.093 %	  0.00491
  5287.3 10 	     0.15 %	  0.0079309
  5338.7 10 	     0.130 % 13 	  0.0069 7 
  5365.6 10 	     0.130 % 13 	  0.0070 7 
  5433.6 5 	     2.22 % 20 	  0.121 11 
  5481.2	     0.0080 % 8 	  4.4E-4 4 
  5501.6 10 	     1.00 % 15 	  0.055 8 
  5539.80 90 	     9.00 % 20 	  0.499 11 
  5606.73 30 	    25.2 % 5 	  1.41 3 
  5716.23 29 	    51.6 % 13 	  2.95 7 
  5747.0 4 	     9.00 % 20 	  0.517 11 
  5857.5 10 	     0.31 % 4 	  0.0182 23 
  5871.3 10 	     1.00 % 20 	  0.059 12 
