  4363 7 	     4.1E-5 % 4 	  1.81E-6 18 
  4423 5 	     8.280E-5 %	  3.662E-6
  4445 4 	     6.900E-4 %	  3.067E-5
  4459 7 	     6.9E-5 % 7 	  3.1E-6 3 
  4512 5 	     4.1E-5 % 4 	  1.87E-6 19 
  4581 7 	     4.1E-5 % 4 	  1.90E-6 19 
  4589 4 	     1.380E-4 %	  6.333E-6
  4594 4 	     2.760E-4 %	  1.268E-5
  4715 4 	     0.006 % 3 	  2.6E-4 13 
  4738 4 	     0.001242 %	  5.885E-5
  4768 3 	     0.025 % 7 	  0.0012 3 
  4785 4 	     0.001104 %	  5.283E-5
  4796 3 	     0.014 % 7 	  7E-4 3 
  4822 4 	     9.66E-4 %	  4.658E-5
  4855 2 	     0.083 % 14 	  0.0040 7 
  4872.7 2 	     0.087 % 7 	  0.0042 3 
  4898.8 30 	     0.001518 %	  7.436E-5
  4940.7 8 	     0.546 % 17 	  0.0270 8 
  4953.26 14 	     0.658 % 14 	  0.0326 7 
