  5033.5 40 	     3.10E-4 %  1.56E-5 10 
  5056.1 40 	     2.30E-4 %  1.16E-5 10 
  5083.5 40 	     1.50E-4 %  7.6E-6 8 
  5110.5 40 	     2.80E-4 %  1.43E-5 10 
  5128.7 30 	     6.2E-4 % 5 3.2E-5 3 
  5146.5 20 	     0.00410 %
  5171.0 30 	     0.00170 %
  5180.6 40 	     0.00120 %
  5193.7 25 	     0.0038 %  
  5210.2 20 	     0.0070 %  
  5229.2 20 	     0.0098 %  
  5248.3 20 	     0.00320 %
  5264.3 20 	     0.00260 % 
  5321.8 40 	     2.4E-4 % 
  5335.9 50 	     2.0E-4 % 
  5365.0 25 	     6.6E-4 %  
  5408.7 30 	     4.4E-4 % 
  5458.6 20 	     0.00270 %
  5480.4 22 	     0.00120 %
  5509.9 20 	     0.0166 %  
  5531.7 18 	     0.0210 %  
  5585.9 16 	     0.176 % 
  5600.6 18 	     0.170 % 
  5613.3 16 	     0.216 % 
  5622.0 17 	     0.0070 %  
  5640.2 15 	     0.0179 % 
  5668.0 15 	     2.06 %   
  5674.3 16 	     0.057 %
  5693.0 16 	     1.50 % 
  5700.8 16 	     3.63 % 
  5708.8 16 	     8.3 % 
  5713.2 16 	     4.89 %
  5728.1 16 	     0.0342 % 
  5756.87 15 	    20.4 % 
  5762.3 15 	     0.228 % 
  5795.5 15 	     0.311 % 
  5807.5 15 	     1.270 % 
  5866.6	     2.42 % 
  5909.9 15 	     0.174 %
  5916.0 15 	     0.78 % 
  5959.7 15 	     3.00 % 
  5977.72 10 	    23.5 % 
  5989.4 20 	    0 %       
  6008.8 15 	     2.90 %
  6038.01 15 	    24.2 % 
