# neutron yield per alpha particle for thick targets R.Heaton etal NIMA276 (1989)529
# energy in MeV
*energy carbon
2.2 2.9e-9
2.4 9.82e-9
2.6 1.55e-8
2.8 1.88e-8
3.0 2.33e-8
3.2 2.83e-8
3.4 3.61e-8
3.6 4.09e-8
3.8 4.28e-8
4.0 4.33e-8
4.2 4.49e-8
4.4 4.80e-8
4.6 5.14e-8
4.8 5.55e-8
5.0 6.47e-8
5.2 8.17e-8
5.4 1.01e-7
5.6 1.22e-7
5.8 1.41e-7
6.0 1.75e-7
6.2 2.10e-7
6.4 2.41e-7
6.6 2.69e-7
6.8 2.97e-7
7.0 3.43e-7
7.2 3.90e-7
7.4 4.30e-7
7.6 4.83e-7
7.8 5.47e-7
8.0 6.10e-7
*energy oxygen
1.6 3.1e-12
1.8 5.00e-12
2.0 3.00e-11
2.2 9.00e-11
2.4 1.6e-10
2.6 8.3e-10
2.8 1.4e-9
3.0 2.3e-9
3.2 3.1e-9
3.4 4.6e-9
3.6 6.9e-9
3.8 1.13e-8
4.0 1.39e-8
4.2 1.93e-8
4.4 2.71e-8
4.6 3.48e-8
4.8 4.15e-8
5.0 4.88e-8
5.2 5.46e-8
5.4 6.17e-8
5.6 7.27e-8
5.8 8.28e-8
6.0 9.61e-8
6.2 1.11e-7
6.4 1.23e-7
6.6 1.33e-7
6.8 1.47e-7
7.0 1.63e-7
7.2 1.77e-7
7.4 1.90e-7
7.6 2.04e-7
7.8 2.19e-7
8.0 2.35e-7
*energy fluorine
2.4 6.48e-10
2.6 2.4e-8
2.8 8.32e-8
3.0 1.81e-7
3.2 3.21e-7
3.4 5.05e-7
3.6 7.36e-7
3.8 1.07e-6
4.0 1.54e-6
4.2 2.06e-6
4.4 2.87e-6
4.6 3.90e-6
4.8 5.02e-6
5.0 6.17e-6
5.2 7.71e-6
5.4 9.48e-6
5.6 1.14e-5
5.8 1.36e-5
6.0 1.60e-5
6.2 1.92e-5
6.4 2.24e-5
6.6 2.56e-5
6.8 2.90e-5
7.0 3.26e-5
7.2 3.72e-5
7.4 4.16e-5
7.6 4.61e-5
7.8 5.08e-5
8.0 5.58e-5

